id_departement;libelle_de_commune;annee;population;hypermarche;supermarche;grande_surface_de_bricolage;superette;epicerie;boulangerie;boucherie_charcuterie;produits_surgeles;poissonnerie;librairie_papeterie_journaux;magasin_de_vetements;magasin_d_equipements_du_foyer;magasin_de_chaussures;magasin_d_electromenager_et_de_mat_audio_video;magasin_de_meubles;magasin_d_articles_de_sports_et_de_loisirs;magasin_de_revetements_murs_et_sols;droguerie_quincaillerie_bricolage;parfumerie;horlogerie_bijouterie;fleuriste;magasin_d_optique;station_service
78;Le Perray-en-Yvelines;2001;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2002;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2003;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2004;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2005;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2006;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2007;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2008;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2009;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2010;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2011;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2012;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2013;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2014;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2015;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2016;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2017;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2018;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2019;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
78;Le Perray-en-Yvelines;2020;6600;0;1;1;1;0;2;1;0;0;2;1;1;1;2;0;1;0;2;1;0;3;0;1
94;Le Perreux-sur-Marne;1995;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;1996;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;1997;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;1998;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;1999;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2000;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2001;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2002;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2003;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2004;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2005;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2006;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2007;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2008;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2009;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2010;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2011;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2012;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2013;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2014;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2015;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2016;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2017;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2018;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
94;Le Perreux-sur-Marne;2019;32520;0;3;0;3;12;15;7;1;0;4;10;4;3;1;1;4;0;3;3;1;10;5;1
